Post,Labels Set,Category,Dataset,Processed_Post
স্যার কি ভোট দিয়েছিলেন?????নাকি আপনার ভোটও আমাদের মত অস্রের মুখে জিম্মি করে কেড়ে নেওয়া হয়েছে?????  নাকি আমার চোখের সামনে ঘটে যাওয়া ৭০ বছরের বৃদ্ধের গালে ১৭ বছরের ছেলের চপেটাঘাত।  নাকি সামান্য কিছু ভোটের জন্য ভোট কেন্দ্রের চারিদিকে বোম্বিং করে আতংক তৈরি করেছিল।  স্যার এর কোনটাই মিথ্যা না।আমার চোখে দেখা ঘটনা। আমি দীর্ঘ পথ পাড়ি দিয়েছিলাম ভোট টা দেব বলে তাই বলে এভাবে ভোট ডাকাতি করবে আপনার ধারনকৃত চেতনাধারী রা।  স্যার সৎ সাহস আছে কি বলার নীতি নৈতিকতা নিয়ে কথা বলার।জানি নেই কারন আপনি তো কাউকে না কাউকে প্রতিনিধিত্ব করেন আমাদের মত সাধারন মানুষের না।।।।।।  নীতি কথা তার মুখে মানায় যিনি সকল পরিস্থিতিতে আমাদের মত সাধারণ মানুষের কথা বলে। ভাল থাকবেন স্যার  অসাম্প্রদায়িক বাংলাদেশ আপনি যেমন চান আমরাও চাই কিন্তু সেটা এভাবে না স্যার।,0,celebrity,Bengali hate speech ,স্যার কি ভোট দিয়েছিলেন?????নাকি আপনার ভোটও আমাদের মত অস্রের মুখে জিম্মি করে কেড়ে নেওয়া হয়েছে?????  নাকি আমার চোখের সামনে ঘটে যাওয়া ৭০ বছরের বৃদ্ধের গালে ১৭ বছরের ছেলের চপেটাঘাত।  নাকি সামান্য কিছু ভোটের জন্য ভোট কেন্দ্রের চারিদিকে বোম্বিং করে আতংক তৈরি করেছিল।  স্যার এর কোনটাই মিথ্যা না।আমার চোখে দেখা ঘটনা। আমি দীর্ঘ পথ পাড়ি দিয়েছিলাম ভোট টা দেব বলে তাই বলে এভাবে ভোট ডাকাতি করবে আপনার ধারনকৃত চেতনাধারী রা।  স্যার সৎ সাহস আছে কি বলার নীতি নৈতিকতা নিয়ে কথা বলার।জানি নেই কারন আপনি তো কাউকে না কাউকে প্রতিনিধিত্ব করেন আমাদের মত সাধারন মানুষের না।।।।।।  নীতি কথা তার মুখে মানায় যিনি সকল পরিস্থিতিতে আমাদের মত সাধারণ মানুষের কথা বলে। ভাল থাকবেন স্যার  অসাম্প্রদায়িক বাংলাদেশ আপনি যেমন চান আমরাও চাই কিন্তু সেটা এভাবে না স্যার।
তোর মাং ফাটাবো রে শালা,1,"Meme, TikTok and others",Bengali hate speech ,তোর মাং ফাটাবো রে শালা
এই মিডিয়ার এই সালা দের ধুনার দরকার ভাল মত এত দিন কোথাই ছিল।,1,crime,Bengali hate speech ,এই মিডিয়ার এই সালা দের ধুনার দরকার ভাল মত এত দিন কোথাই ছিল।
এখন থেকে যে মন্ত্রী মুক্তিযোদ্ধার কথা বলবে তাকে কুত্তারমত পিটানো উচিত।,1,crime,Bengali hate speech ,এখন থেকে যে মন্ত্রী মুক্তিযোদ্ধার কথা বলবে তাকে কুত্তারমত পিটানো উচিত।
আমি আমির হামজা কে চুদি মু,1,religion,Bengali hate speech ,আমি আমির হামজা কে চুদি মু
সালার হাত কেটে দেওয়া হোক,1,"Meme, TikTok and others",Bengali hate speech ,সালার হাত কেটে দেওয়া হোক
এখনো মেনে নিতে পারতেছিনা যখন ফাঁসি হবে তখন বুজবো যে আমাদের দেশে আইন আছে,0,crime,Bengali hate speech ,এখনো মেনে নিতে পারতেছিনা যখন ফাঁসি হবে তখন বুজবো যে আমাদের দেশে আইন আছে
বাংলাদেশের আরেক নাম খালেদাজিয়া 😂😂😁😁,0,politics,Bengali hate speech ,বাংলাদেশের আরেক নাম খালেদাজিয়া 
আমি ভাবছিলাম একজন ভালো ছেলে কিন্তু না সে একটা চুড়ান্ত বেয়াদব তার উবার লাস্ট বলে যে কাজটা করেছে চুড়ান্ত বেয়াদব ছারা কেহ করতে পারেনা। তার উবারে রান নেওয়াতে যে বেয়াদবিটা করলো মনে হয় সে একজন সেরা বলার। গাদা কুতাকার খেলার মধ্যে হার জিত থাকবেই। যে হার জিত মানতে না পারে তার খেলার কোন দরকার নাই। উবার বল করে দিয়ে বেঁটে নেমে বলে রান করেছে আবার ভাব চুদায় বেয়াদব।,1,sports,Bengali hate speech ,আমি ভাবছিলাম একজন ভালো ছেলে কিন্তু না সে একটা চুড়ান্ত বেয়াদব তার উবার লাস্ট বলে যে কাজটা করেছে চুড়ান্ত বেয়াদব ছারা কেহ করতে পারেনা। তার উবারে রান নেওয়াতে যে বেয়াদবিটা করলো মনে হয় সে একজন সেরা বলার। গাদা কুতাকার খেলার মধ্যে হার জিত থাকবেই। যে হার জিত মানতে না পারে তার খেলার কোন দরকার নাই। উবার বল করে দিয়ে বেঁটে নেমে বলে রান করেছে আবার ভাব চুদায় বেয়াদব।
পাপন দা খুশি,0,sports,Bengali hate speech ,পাপন দা খুশি
আল্লাহ তুমি মাফ কর এ নাস্তিকদের হেদায়েত দান করুন আমীন,0,religion,Bengali hate speech ,আল্লাহ তুমি মাফ কর এ নাস্তিকদের হেদায়েত দান করুন আমীন
বানচোতের ধোন রেললাইনের উপর রেখে হামার দ্বারা পিটানো উচিত।,1,crime,Bengali hate speech ,বানচোতের ধোন রেললাইনের উপর রেখে হামার দ্বারা পিটানো উচিত।
সবার কি ফাসির কারজ্জকর হয়েছে,0,crime,Bengali hate speech ,সবার কি ফাসির কারজ্জকর হয়েছে
তাহেরি তুর কয়দিনের ছোটরে একটু জানাবি বিয়াদবির একটা সিমা আছে শিশু,0,religion,Bengali hate speech ,তাহেরি তুর কয়দিনের ছোটরে একটু জানাবি বিয়াদবির একটা সিমা আছে শিশু
পাপন ভাজা হচ্ছে মাদারচোদ দুই নম্বর মাদারচোদ নাননু,1,sports,Bengali hate speech ,পাপন ভাজা হচ্ছে মাদারচোদ দুই নম্বর মাদারচোদ নাননু
কাকু খুব আকাম চুদাইচ জীবনে,1,"Meme, TikTok and others",Bengali hate speech ,কাকু খুব আকাম চুদাইচ জীবনে
কিছু কিছু মেয়ে আছে অতিরিক্ত বাল পাকনামির কারনেও এই হাল হয় ! কথায় আছেসুখে থাকতে ভুতে খিলায়|,1,entertainment,Bengali hate speech ,কিছু কিছু মেয়ে আছে অতিরিক্ত বাল পাকনামির কারনেও এই হাল হয় ! কথায় আছেসুখে থাকতে ভুতে খিলায়|
এই কুকুর টাকে সর্বচ্চ শাস্তি দেওয়া হোক,1,"Meme, TikTok and others",Bengali hate speech ,এই কুকুর টাকে সর্বচ্চ শাস্তি দেওয়া হোক
"হুদাই,, খায়া দায়া কোনো কাজ নাই?????",0,sports,Bengali hate speech ,"হুদাই,, খায়া দায়া কোনো কাজ নাই?????"
তোরে মাইরা ফেলে না কেন আমি তোরে মারতে চাই তুরে মাইরা ফেলাবো আমি,1,"Meme, TikTok and others",Bengali hate speech ,তোরে মাইরা ফেলে না কেন আমি তোরে মারতে চাই তুরে মাইরা ফেলাবো আমি
এই শালা ভন্ড তোর চুল তো পিঠ পরযোন্ত,1,religion,Bengali hate speech ,এই শালা ভন্ড তোর চুল তো পিঠ পরযোন্ত
এই না লিখতে পারাটাও তো একটা প্রতিবাদ ।,0,celebrity,Bengali hate speech ,এই না লিখতে পারাটাও তো একটা প্রতিবাদ ।
এদেশের বিরুদ্ধে কথা বললে দেশ বিরুদ্ধি হয় না পাকিস্তানের পক্ষে জামাতের পক্ষে কথা বলে দেশবিরুদি হয় এর নাম বাংলাদেশ,0,politics,Bengali hate speech ,এদেশের বিরুদ্ধে কথা বললে দেশ বিরুদ্ধি হয় না পাকিস্তানের পক্ষে জামাতের পক্ষে কথা বলে দেশবিরুদি হয় এর নাম বাংলাদেশ
সভাপতি কে আগে বাদ দেয়া হক,0,politics,Bengali hate speech ,সভাপতি কে আগে বাদ দেয়া হক
কুত্তা মার্কা ব্যাবহার শালার,1,entertainment,Bengali hate speech ,কুত্তা মার্কা ব্যাবহার শালার
তাসকীনের দাঁত ভাঙা কেনো? তাসকীনকে গে দের মত লাগে,0,sports,Bengali hate speech ,তাসকীনের দাঁত ভাঙা কেনো? তাসকীনকে গে দের মত লাগে
জারজ সন্তানএই সব জারাজদের সরকার উপযুক্ত শাস্তি দেয়না বলেই দেশে আজ এতো বৃদ্ধাস্রম,1,"Meme, TikTok and others",Bengali hate speech ,জারজ সন্তানএই সব জারাজদের সরকার উপযুক্ত শাস্তি দেয়না বলেই দেশে আজ এতো বৃদ্ধাস্রম
ঢুকিয়ে দে,0,crime,Bengali hate speech ,ঢুকিয়ে দে
এই ছবিরএকটা গান আছে। কারে বলি মনেরব্যাথা। কানটি কই ভাই,0,entertainment,Bengali hate speech ,এই ছবিরএকটা গান আছে। কারে বলি মনেরব্যাথা। কানটি কই ভাই
মিন্নি দি এখনো ভাব চোদায়,1,crime,Bengali hate speech ,মিন্নি দি এখনো ভাব চোদায়
তুই হালা জুকারকে হার মানাতে পারিস সাউয়ার পোলা .. সুদির ভাই..,1,celebrity,Bengali hate speech ,তুই হালা জুকারকে হার মানাতে পারিস সাউয়ার পোলা .. সুদির ভাই..
ওরে ভাই আমার জিবনে দেখা চরম একটা ইন্টারভিউ খুবি খুবি মজা পাইলাম 😂😂😂,0,entertainment,Bengali hate speech ,ওরে ভাই আমার জিবনে দেখা চরম একটা ইন্টারভিউ খুবি খুবি মজা পাইলাম 
তাহেরীর মার পেট ভালো ছিলনা ও একটা জারজ সনতান,1,religion,Bengali hate speech ,তাহেরীর মার পেট ভালো ছিলনা ও একটা জারজ সনতান
সিলেট হারলো তাদের বাজে ফিল্ডিং এবং বাজে অধিনায়কত্বের কারণে সবচাইতে বড় ব্যাপার হলেও তাদের অধিনায়ক বলতে কেউ নেই।,0,sports,Bengali hate speech ,সিলেট হারলো তাদের বাজে ফিল্ডিং এবং বাজে অধিনায়কত্বের কারণে সবচাইতে বড় ব্যাপার হলেও তাদের অধিনায়ক বলতে কেউ নেই।
নুসরাত কে তো কাঁদতে ও দিস নি তোরা,0,crime,Bengali hate speech ,নুসরাত কে তো কাঁদতে ও দিস নি তোরা
আবাল মার্কা নায়ককে দিসে হিরো খাজাখোর পরিচালক,1,entertainment,Bengali hate speech ,আবাল মার্কা নায়ককে দিসে হিরো খাজাখোর পরিচালক
এত চুদাচুদির খায়েস।। শালা মাগা মাগি দুইটা,1,sports,Bengali hate speech ,এত চুদাচুদির খায়েস।। শালা মাগা মাগি দুইটা
তদের বিরুদ্ধে একশন নেওয়া হবে ত্বরা বাস্তবেই ইয়াবা ব্যবসা করিস।থানায় তদের নামে জিডি করা হয়েছে,0,crime,Bengali hate speech ,তদের বিরুদ্ধে একশন নেওয়া হবে ত্বরা বাস্তবেই ইয়াবা ব্যবসা করিস।থানায় তদের নামে জিডি করা হয়েছে
বছর পর লাইক দিলাম। আশাকরী ডিসেম্বর এর আগের শাহেদ আলম ভাই কে পাব,0,politics,Bengali hate speech ,বছর পর লাইক দিলাম। আশাকরী ডিসেম্বর এর আগের শাহেদ আলম ভাই কে পাব
এই মেয়েতো মাগি,1,entertainment,Bengali hate speech ,এই মেয়েতো মাগি
কিরে জাফর,0,celebrity,Bengali hate speech ,কিরে জাফর
কোন কারন না খুজে যে ভাবে সমাধান হয়তাকরাই ভাল আমি মনে করি।দেশের জন্যও ভাল ক্রিকেটের জন্যও ভালো।,0,sports,Bengali hate speech ,কোন কারন না খুজে যে ভাবে সমাধান হয়তাকরাই ভাল আমি মনে করি।দেশের জন্যও ভাল ক্রিকেটের জন্যও ভালো।
ধূর! সময় নষ্ট!,0,celebrity,Bengali hate speech ,ধূর! সময় নষ্ট!
শালা তুই ভন্ড পীর কুকুর তুই,1,religion,Bengali hate speech ,শালা তুই ভন্ড পীর কুকুর তুই
তাকে আবার কে চুদলো 😋,1,politics,Bengali hate speech ,তাকে আবার কে চুদলো 
এফডিসি র নায়িকা নয় ছোট্ট পর্দা র গায়িকা নয় বিশ্ববিদ্যালয় র ছাত্রী নয় অবশেষে পিয়ন চুদলি! তোর বাব দাদারা কি পরের বাড়ির কামলা খাটতো আর তোর মায়েরা কি পরের বাড়ির ঝী র কাজ করতো,1,crime,Bengali hate speech ,এফডিসি র নায়িকা নয় ছোট্ট পর্দা র গায়িকা নয় বিশ্ববিদ্যালয় র ছাত্রী নয় অবশেষে পিয়ন চুদলি! তোর বাব দাদারা কি পরের বাড়ির কামলা খাটতো আর তোর মায়েরা কি পরের বাড়ির ঝী র কাজ করতো
ঈদে মিলাদুন নবি বেদাত কোন হাদিসে আছে,0,religion,Bengali hate speech ,ঈদে মিলাদুন নবি বেদাত কোন হাদিসে আছে
কাহা মুক্তিযুদ্ধ নিয়ে ব্যবসা টা ভালই  চলছে,0,celebrity,Bengali hate speech ,কাহা মুক্তিযুদ্ধ নিয়ে ব্যবসা টা ভালই  চলছে
নুর হচ্ছে আগামীর তরুণ সমাজের নেতা। যতই হেলমেট লীগ ডিম লীগ বের হোক না কেনো একদিন না একদিন তাদের বিচারের মুখোমুখি হতেই হবে ।,0,politics,Bengali hate speech ,নুর হচ্ছে আগামীর তরুণ সমাজের নেতা। যতই হেলমেট লীগ ডিম লীগ বের হোক না কেনো একদিন না একদিন তাদের বিচারের মুখোমুখি হতেই হবে ।
দুয়া করি আল্লাহ কাছে আপনার জন্য,0,politics,Bengali hate speech ,দুয়া করি আল্লাহ কাছে আপনার জন্য
একমাত্র পাপন সাহেবের জন্য ক্রিকেট ধ্বংস হতে যাচ্ছে,0,sports,Bengali hate speech ,একমাত্র পাপন সাহেবের জন্য ক্রিকেট ধ্বংস হতে যাচ্ছে
ওর কথা বলর সময় চেহারার মধ্যেই ফুটে উঠেছে যে এই কাজ করেছে।,0,crime,Bengali hate speech ,ওর কথা বলর সময় চেহারার মধ্যেই ফুটে উঠেছে যে এই কাজ করেছে।
এই শালার পোলা ইহুদীর দালাল তুইত মনে হয় কোরআন পড়তে পারছ না আলেমদের খারাপ ভাবে দেখাস।,1,religion,Bengali hate speech ,এই শালার পোলা ইহুদীর দালাল তুইত মনে হয় কোরআন পড়তে পারছ না আলেমদের খারাপ ভাবে দেখাস।
এই পাপন সাকিব খেলবে না তোর বাবাকে নিয়েজা।শালা শুয়ারের বাচ্ছা।,1,sports,Bengali hate speech ,এই পাপন সাকিব খেলবে না তোর বাবাকে নিয়েজা।শালা শুয়ারের বাচ্ছা।
পাপনের পদত্যাগ চাইএটা সম্পূর্ণভাবে নিশ্চিত যে এটা পাপন কাক্কর কাজ,0,sports,Bengali hate speech ,পাপনের পদত্যাগ চাইএটা সম্পূর্ণভাবে নিশ্চিত যে এটা পাপন কাক্কর কাজ
শালা জেনাহুর পাগল হয়ে গেছে,1,crime,Bengali hate speech ,শালা জেনাহুর পাগল হয়ে গেছে
অরে বাবা!! কিরে খানকি মাগি! তুই বোরকা কেন পরে আছিস চুতমারানি তরে পেনটি পরায়া রাস্তায় নামানো দরকার।চুতমারানি বোরকার অপমান করিস,1,crime,Bengali hate speech ,অরে বাবা!! কিরে খানকি মাগি! তুই বোরকা কেন পরে আছিস চুতমারানি তরে পেনটি পরায়া রাস্তায় নামানো দরকার।চুতমারানি বোরকার অপমান করিস
দুরো হালা তাসকিন,1,sports,Bengali hate speech ,দুরো হালা তাসকিন
থোখের ভাসাটা কি,0,religion,Bengali hate speech ,থোখের ভাসাটা কি
জুতা মারা দরকার ছিল শালার পোরে মাজার পূজারী,1,religion,Bengali hate speech ,জুতা মারা দরকার ছিল শালার পোরে মাজার পূজারী
এমাগি আবার কি কয় দেওয়ানবাগীর ভিতরে নাকি আল্লাহ মাগির দুই দুই উরুর চিপায় দিয়ে মরিচ দাও,1,religion,Bengali hate speech ,এমাগি আবার কি কয় দেওয়ানবাগীর ভিতরে নাকি আল্লাহ মাগির দুই দুই উরুর চিপায় দিয়ে মরিচ দাও
রবিউল আউয়াল শরীফ ব্যাপী বেশি বেশি দরূদ শরীফ পাঠ করা ঈদে মীলাদুন্নবী সাল্লাল্লাহু আলাইহি ওয়াসাল্লামা পালনের অন্যতম সহজ ও শ্রেষ্ঠ মাধ্যম। ‎اللهم صل علي سيدنا محمد و علي ال سيدنا محمد بارك و سلم,0,celebrity,Bengali hate speech ,রবিউল আউয়াল শরীফ ব্যাপী বেশি বেশি দরূদ শরীফ পাঠ করা ঈদে মীলাদুন্নবী সাল্লাল্লাহু আলাইহি ওয়াসাল্লামা পালনের অন্যতম সহজ ও শ্রেষ্ঠ মাধ্যম। ‎اللهم صل علي سيدنا محمد و علي ال سيدنا محمد بارك و سلم
মাগি এত খারাপ যে অরে,1,entertainment,Bengali hate speech ,মাগি এত খারাপ যে অরে
দেওআন বাগ থেকে বড় অপরাধী তার ভ্ত্তরা যারা এই কথা গুলা বিশ্বাস করে,0,religion,Bengali hate speech ,দেওআন বাগ থেকে বড় অপরাধী তার ভ্ত্তরা যারা এই কথা গুলা বিশ্বাস করে
"কি ভাবে সুখের সংসার করা যায়, শিক্ষা মূলক নাটক বানান ছেলে মেয়েদের বিয়েতে আকর্ষিত করুন প্লিজ",0,entertainment,Bengali hate speech ,"কি ভাবে সুখের সংসার করা যায়, শিক্ষা মূলক নাটক বানান ছেলে মেয়েদের বিয়েতে আকর্ষিত করুন প্লিজ"
যারজ মাদারীর চোদ,1,crime,Bengali hate speech ,যারজ মাদারীর চোদ
মেয়েটি একটা মাল,1,entertainment,Bengali hate speech ,মেয়েটি একটা মাল
আজকের এই আন্দোলনটি জদি সব ক্রিকেটার এবং দেশের সব জনগন মিলে ইসলামের পক্ষে করতো।খুব ভালো লাগতো।,0,sports,Bengali hate speech ,আজকের এই আন্দোলনটি জদি সব ক্রিকেটার এবং দেশের সব জনগন মিলে ইসলামের পক্ষে করতো।খুব ভালো লাগতো।
কুকুর লীগ দের সাথে কেনো টক সতে আসেন,1,politics,Bengali hate speech ,কুকুর লীগ দের সাথে কেনো টক সতে আসেন
কাদের কে খালেদা জিয়া পিয়ন হয়ার যোগ্যতা নেই,0,politics,Bengali hate speech ,কাদের কে খালেদা জিয়া পিয়ন হয়ার যোগ্যতা নেই
সাদনার ভোদা তো এই ডিসিই ফাটিয়েছে।,1,crime,Bengali hate speech ,সাদনার ভোদা তো এই ডিসিই ফাটিয়েছে।
পাগল সব। কাজ কর্ম নেই,0,religion,Bengali hate speech ,পাগল সব। কাজ কর্ম নেই
"চুদির পুত, এহন তোর বমি আসেনা? নাকি বমি আসলেও সেগুলা আবার গিলে খাস...",1,celebrity,Bengali hate speech ,"চুদির পুত, এহন তোর বমি আসেনা? নাকি বমি আসলেও সেগুলা আবার গিলে খাস..."
খানকি মাগি তাহসান ভাই কে রেখে তুই বুইরাটার কাছে কি দেখছোত বুইরাটা তো তোকে টিপ দিতে ও পারবে না,1,entertainment,Bengali hate speech ,খানকি মাগি তাহসান ভাই কে রেখে তুই বুইরাটার কাছে কি দেখছোত বুইরাটা তো তোকে টিপ দিতে ও পারবে না
ফেইসবুকের পোস্ট রিডিং পড়তেছে পোস্ট এর লিখা কপি করে ভিডিও বানাইছে,0,"Meme, TikTok and others",Bengali hate speech ,ফেইসবুকের পোস্ট রিডিং পড়তেছে পোস্ট এর লিখা কপি করে ভিডিও বানাইছে
সালি একটা মাগি,1,sports,Bengali hate speech ,সালি একটা মাগি
ঠিক ঠিক বলেছেন টিপু সুলতান ভাইয়া !!,0,crime,Bengali hate speech ,ঠিক ঠিক বলেছেন টিপু সুলতান ভাইয়া !!
তুর মারে চৌদী,1,sports,Bengali hate speech ,তুর মারে চৌদী
কুওালীগ দলটা নিষিদ্ধ করার দরকার,1,politics,Bengali hate speech ,কুওালীগ দলটা নিষিদ্ধ করার দরকার
কুত্তা বাচ্চা এই রকম নিউজ দিস জম্মের থিক নাই।,1,sports,Bengali hate speech ,কুত্তা বাচ্চা এই রকম নিউজ দিস জম্মের থিক নাই।
খানকির ছেলে একটা শাকিব,1,"Meme, TikTok and others",Bengali hate speech ,খানকির ছেলে একটা শাকিব
"এই অপকর্ম এর দায় আপনার, আমার। যদিও আমরা না বোঝার ভান করছি।",0,celebrity,Bengali hate speech ,"এই অপকর্ম এর দায় আপনার, আমার। যদিও আমরা না বোঝার ভান করছি।"
"ধৈর্য ধরেন,কেউ ঠেলাঠেলি করবেন না প্লিগ.. সবাই কমেন্ট করার সুযোগ পাবেন...😂😂😂",0,celebrity,Bengali hate speech ,"ধৈর্য ধরেন,কেউ ঠেলাঠেলি করবেন না প্লিগ.. সবাই কমেন্ট করার সুযোগ পাবেন..."
আমরা সিলটি ফুয়াইন,0,sports,Bengali hate speech ,আমরা সিলটি ফুয়াইন
বেটার বেকতি গত বেপার,0,sports,Bengali hate speech ,বেটার বেকতি গত বেপার
এ নিয়ে তিন বার দেখলাম,0,entertainment,Bengali hate speech ,এ নিয়ে তিন বার দেখলাম
তর মত মাগী জননো আজ আমরা সবাই কলঙিত,1,crime,Bengali hate speech ,তর মত মাগী জননো আজ আমরা সবাই কলঙিত
হাইওয়ান অর বাচ্চা।,1,crime,Bengali hate speech ,হাইওয়ান অর বাচ্চা।
চারটা কুকুড় একজন মানুষ,0,religion,Bengali hate speech ,চারটা কুকুড় একজন মানুষ
ভালোবাসি ভালোবাসি তোমাকে এই গানটা দিয়ান,0,entertainment,Bengali hate speech ,ভালোবাসি ভালোবাসি তোমাকে এই গানটা দিয়ান
তোর মাগি,1,crime,Bengali hate speech ,তোর মাগি
অপু উকিল এর কথা শুুনলে হাসি পায়,0,politics,Bengali hate speech ,অপু উকিল এর কথা শুুনলে হাসি পায়
কুকুর এর বাচচারে মারো মাগির ফুরি। চুতমারানির পুরি।,1,religion,Bengali hate speech ,কুকুর এর বাচচারে মারো মাগির ফুরি। চুতমারানির পুরি।
মিন্নি কে আগে ফাঁসি দেওয়া হোক,0,crime,Bengali hate speech ,মিন্নি কে আগে ফাঁসি দেওয়া হোক
সরকারি ক্যাডার লুচ্চো,1,crime,Bengali hate speech ,সরকারি ক্যাডার লুচ্চো
তিন টা খানকির মাগির পুয়া,1,religion,Bengali hate speech ,তিন টা খানকির মাগির পুয়া
শালিরা চোদা খাওয়ার পাগল,1,entertainment,Bengali hate speech ,শালিরা চোদা খাওয়ার পাগল
মাদারচুদ রা আজাইরা ভাব চুদায় বালা ফালাইছে পুলাটারে অসহায় পাইয়া কি ভাব!!,1,sports,Bengali hate speech ,মাদারচুদ রা আজাইরা ভাব চুদায় বালা ফালাইছে পুলাটারে অসহায় পাইয়া কি ভাব!!
কাউয়া কাদেরের সাথে দেশ মাতা খালেদাজিয়ার সাথে তুলনা।পাগল,1,politics,Bengali hate speech ,কাউয়া কাদেরের সাথে দেশ মাতা খালেদাজিয়ার সাথে তুলনা।পাগল
তাকে ফাসি দেয়া হক তার একাকার মানুষ কোথায় তাকে মেরাফেলা হক এরা হলো দেশের বাইরাছ এই বিচার ভালো না হলে দেশে আরো খারাব হয়ে জাবে,0,crime,Bengali hate speech ,তাকে ফাসি দেয়া হক তার একাকার মানুষ কোথায় তাকে মেরাফেলা হক এরা হলো দেশের বাইরাছ এই বিচার ভালো না হলে দেশে আরো খারাব হয়ে জাবে
স্যার এরকম উল্টাপাল্টা লেখা আপনার হতেই পারে না! তাড়াতাড়ি আরেকটা পোস্ট দিয়ে বলুন আপনার আইডি হ্যাক হয়েছিল। কি করবেন থাক সে কথা। এখন বলুন মতিয়া আপা আপনাকে কি যাদু করেছে যে আন্দোলনকারী ছাত্রছাত্রীদের রাজাকার বলার পরও উনার গায়ে বমি করলেন না!!! মতিয়া চৌধুরী মুক্তিযোদ্ধাদের অসম্মান করল আর আপনি তাকে সাপোর্ট দিয়ে ছাত্রছাত্রীদের গুষ্ঠিউদ্ধারে লেগেছেন!! মহানমুক্তিযুদ্ধের সময় আপনি টগবগে যুবক। যুদ্ধ না করে পালিয়ে বেড়াইছেন। লজ্জা করা উচিত্‍ আপনার। ছোটবেলা থেকেই আপনাকে সম্মান করি। বড়াই করে বন্ধুদের কাছে আপনার গল্প করি। এখন বন্ধুদের কাছে আপনাকে কি বলে পরিচয় দেব?? দালাল বলে!!,0,celebrity,Bengali hate speech ,স্যার এরকম উল্টাপাল্টা লেখা আপনার হতেই পারে না! তাড়াতাড়ি আরেকটা পোস্ট দিয়ে বলুন আপনার আইডি হ্যাক হয়েছিল। কি করবেন থাক সে কথা। এখন বলুন মতিয়া আপা আপনাকে কি যাদু করেছে যে আন্দোলনকারী ছাত্রছাত্রীদের রাজাকার বলার পরও উনার গায়ে বমি করলেন না!!! মতিয়া চৌধুরী মুক্তিযোদ্ধাদের অসম্মান করল আর আপনি তাকে সাপোর্ট দিয়ে ছাত্রছাত্রীদের গুষ্ঠিউদ্ধারে লেগেছেন!! মহানমুক্তিযুদ্ধের সময় আপনি টগবগে যুবক। যুদ্ধ না করে পালিয়ে বেড়াইছেন। লজ্জা করা উচিত্ আপনার। ছোটবেলা থেকেই আপনাকে সম্মান করি। বড়াই করে বন্ধুদের কাছে আপনার গল্প করি। এখন বন্ধুদের কাছে আপনাকে কি বলে পরিচয় দেব?? দালাল বলে!!
শালা বালের কিএিকেট খেলে বাদ দেওয়া হওক,1,sports,Bengali hate speech ,শালা বালের কিএিকেট খেলে বাদ দেওয়া হওক
ডিসি একটা মাগি খানকির বাচ্চা আর মেয়েটি একটি মাগি খানকির মেয়ে ওদের জন্য সাধারণ ভাল ভদ্র ঘরের মেয়েরা চাকরি বা কাজকর্ম করতে চাইলে ও মানসম্মানের ভয়ে কিছু করতে পারে না তাই ওদেরকে চাকরিশূন্য করে কঠিন বিচার করার দরকার,1,crime,Bengali hate speech ,ডিসি একটা মাগি খানকির বাচ্চা আর মেয়েটি একটি মাগি খানকির মেয়ে ওদের জন্য সাধারণ ভাল ভদ্র ঘরের মেয়েরা চাকরি বা কাজকর্ম করতে চাইলে ও মানসম্মানের ভয়ে কিছু করতে পারে না তাই ওদেরকে চাকরিশূন্য করে কঠিন বিচার করার দরকার
আপনি কি নিয়মিত অনলাইনের স্যারের লেখা পড়েরনি? আপনি না যেনে এইরকম লেখা উচিত হয়নি। Mr. Sowkat,0,celebrity,Bengali hate speech ,আপনি কি নিয়মিত অনলাইনের স্যারের লেখা পড়েরনি? আপনি না যেনে এইরকম লেখা উচিত হয়নি। Mr. Sowkat
"আসলে কথা সত্য, মিডিয়া ই পারে একটা জাতিকে নাংটা করে টেনে হিছরে মাটিতে নামাতে। এই নাটক দেখে নতুন প্রজন্ম কি শিখবে, শিখার কি আছে এতে?তবে এটা ঠিক নিজের সংসার ছেরে সেই আগের প্রেমিক বা প্রেমিকার কাছে পৌছানো।",0,entertainment,Bengali hate speech ,"আসলে কথা সত্য, মিডিয়া ই পারে একটা জাতিকে নাংটা করে টেনে হিছরে মাটিতে নামাতে। এই নাটক দেখে নতুন প্রজন্ম কি শিখবে, শিখার কি আছে এতে?তবে এটা ঠিক নিজের সংসার ছেরে সেই আগের প্রেমিক বা প্রেমিকার কাছে পৌছানো।"
প্রতিমন্ত্রীকে ভিডিও টি দেখানো উচিৎ। তাহলে আর তদন্ত দরকার হবে না। শালার পোলা ভিডিও থাকার পরও তদন্ত দরকার।,1,crime,Bengali hate speech ,প্রতিমন্ত্রীকে ভিডিও টি দেখানো উচিৎ। তাহলে আর তদন্ত দরকার হবে না। শালার পোলা ভিডিও থাকার পরও তদন্ত দরকার।
ধন্যবাদ আমরা চাই সাকিব খান অপু খান এক হক অনেক সুন্দর লাগছে ❤,0,"Meme, TikTok and others",Bengali hate speech ,ধন্যবাদ আমরা চাই সাকিব খান অপু খান এক হক অনেক সুন্দর লাগছে 
ভাই আপনাকে ধন্যবাদ,0,religion,Bengali hate speech ,ভাই আপনাকে ধন্যবাদ
